Problem,Solution ID,Solution label,Confluence link
Fix issue with geo location not updated,0,Geo-location,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/Ed93VNnljS9AiAOt1gKuf4EB8gA-ea43i5h7BASFzZSrJw?e=uuIdzx
"[Databridge] Disabling the DB disables the WiFi-1 also, if we ON the 'Cellular Modems' after Databridge started.",1,Wifi,https://www.google.com/
Modem sometimes provide IPV6 without NAT64 support and will dial forever,2,IPV6,https://www.google.com/
Modem Sierra EM7430 on LU600 won't connect with Partner SIM Card,3,PDP context,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/EdI6Pr4LJoJCtJmzI0ZOADYBw4rr03YCa6sbZ8rN4WZIQQ?e=YI5IdL
Landing page doesn't work properly with 2nd WiFi,1,Wifi,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/EaxQPTPhurNDgfwvh_w_NysBArlQ8RuMLxDjEv_ZVnAqEQ?e=sXaFlI
Modem ZTEMF79S doesn't provide sim card provider name,4,Operator and technology name,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/ERDaX-9sYddJuQYbCGq9lyABr87WD-hycPJeLV0yR6q0jw?e=mePuSz
Unit cannot transmit video from two interfaces if both share the same IP address,5,IP conflict,https://www.google.com/
Jionet 5G in india cannot connect due to unsupported PDP context with EM9191,3,PDP context,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/EdI6Pr4LJoJCtJmzI0ZOADYBw4rr03YCa6sbZ8rN4WZIQQ?e=YI5IdL
modems not connected after switching SIM A to B,6,SIM switch,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/EYTt0pDVqAtEnKc02XyypZoBdc26mx8dTrM0jZPuEzu0fA?e=EdEg62
Modem HuaweiE8372h153 provide sim card provider name and technology,4,Operator and technology name,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/ERDaX-9sYddJuQYbCGq9lyABr87WD-hycPJeLV0yR6q0jw?e=mePuSz
"eaglenest-""Network mode"" selection displayed on LUC for 4G modems, if we replace a 5G modem with a 4G modem",7,Force technlogoy,https://www.google.com/
LU-Unit Geo-location does not update on LUC after SIM switching from A to B,0,Geo-location,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/Ed93VNnljS9AiAOt1gKuf4EB8gA-ea43i5h7BASFzZSrJw?e=uuIdzx
"LU610 Modems unable to enter state ""Connected""",3,PDP context,https://liveutv-my.sharepoint.com/:w:/g/personal/jemish_liveu_tv/EdI6Pr4LJoJCtJmzI0ZOADYBw4rr03YCa6sbZ8rN4WZIQQ?e=YI5IdL
"LU800 - ""Modem under firmware upgrade"" pop-up display on unit GUI when firmware upgrade process was already done and try to disable the modem port from GUI",8,Firmware upgrade,https://www.google.com/
Verizon modem displays on GUI after disconnection,9,Statemachine,https://www.google.com/
